
--- RK4 Steps (RK4 Problem 1), h=0.1 ---
Step	X	Y-values
0	0.100000	1.123049
1	0.200000	1.308496
2	0.300000	1.595754
3	0.400000	2.064900
4	0.500000	2.907820
5	0.600000	4.727897
6	0.700000	10.853932

--- RK4 Steps (RK4 Problem 1), h=0.25 ---
Step	X	Y-values
0	0.250000	1.435558
1	0.500000	2.897227
2	0.750000	17.885430

--- RK4 Steps (RK4 Problem 1), h=0.45 ---
Step	X	Y-values
0	0.450000	2.389060
1	0.900000	109.960226

--- RK4 Steps (RK4 Damped SHO), h=0.05 ---
Step	X	Y-values
327	16.400000	-0.246654	0.176420
328	16.450000	-0.237562	0.187164
329	16.500000	-0.227946	0.197362
330	16.550000	-0.217835	0.206992
331	16.600000	-0.207257	0.216034
332	16.650000	-0.196242	0.224471
333	16.700000	-0.184820	0.232286
334	16.750000	-0.173024	0.239464
335	16.800000	-0.160885	0.245992
336	16.850000	-0.148436	0.251859
337	16.900000	-0.135710	0.257055
338	16.950000	-0.122742	0.261572
339	17.000000	-0.109564	0.265404
340	17.050000	-0.096213	0.268546
341	17.100000	-0.082721	0.270996
342	17.150000	-0.069125	0.272753
343	17.200000	-0.055457	0.273818
344	17.250000	-0.041754	0.274193
345	17.300000	-0.028050	0.273882
346	17.350000	-0.014377	0.272892
347	17.400000	-0.000772	0.271229
348	17.450000	0.012734	0.268904
349	17.500000	0.026108	0.265926
350	17.550000	0.039316	0.262309
351	17.600000	0.052328	0.258065
352	17.650000	0.065113	0.253210
353	17.700000	0.077639	0.247761
354	17.750000	0.089879	0.241736
355	17.800000	0.101804	0.235154
356	17.850000	0.113386	0.228035
357	17.900000	0.124599	0.220402
358	17.950000	0.135418	0.212277
359	18.000000	0.145819	0.203684
360	18.050000	0.155779	0.194649
361	18.100000	0.165277	0.185196
362	18.150000	0.174292	0.175352
363	18.200000	0.182806	0.165145
364	18.250000	0.190801	0.154604
365	18.300000	0.198261	0.143756
366	18.350000	0.205172	0.132631
367	18.400000	0.211520	0.121259
