Table 1: RK4 and RKF45 Approximation Results
Iter    Time      RK4            RKF45          Analytical     
392     19.55     -0.823975      -0.534650      -0.823943      
393     19.60     -0.331208      -0.534650      -0.331176      
394     19.65     0.164956       0.257586       0.164987       
395     19.70     0.659561       1.044179       0.659591       
396     19.75     1.147665       1.044179       1.147694       
397     19.80     1.624392       1.808623       1.624420       
398     19.85     2.084978       1.808623       2.085004       
399     19.90     2.524819       2.484048       2.524843       
400     19.95     2.939518       3.084343       2.939540       
401     20.00     3.324927       3.324949       3.324947       
